Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.8324022346368715,0.8,0.7536231884057971,0.7761194029850746,0.8623188405797101
Random Forest,0.7932960893854749,0.75,0.6956521739130435,0.7218045112781954,0.8092885375494071
Gradient Boosting,0.8156424581005587,0.8103448275862069,0.6811594202898551,0.7401574803149606,0.8470355731225296
Support Vector Machine,0.8324022346368715,0.8095238095238095,0.7391304347826086,0.7727272727272727,0.8437417654808959
K-Nearest Neighbors,0.8044692737430168,0.7575757575757576,0.7246376811594203,0.7407407407407407,0.8409749670619235
Decision Tree,0.7821229050279329,0.7205882352941176,0.7101449275362319,0.7153284671532847,0.7648221343873518
